name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
		RetainedEarnings,"7,285,338,868.57","4,422,208,179.45","2,960,497,821.49","1,504,751,068.95","1,066,660,026.86","754,449,753.63","555,905,064.56","434,905,164.03","365,540,048.24","240,778,130.63","172,119,588.42","114,758,856.72","77,002,124.06","41,044,375.82","13,124,207.99","20,474,181.43"
	MinorityInterest,"2,453,582,054.52","2,295,022,510.51","158,662,858.58","140,052,446.29","115,134,108.05","149,879,233.9","64,852,190.58","46,296,793.16","7,723,866.25","2,997,203.59",,,,,,
TotalCapitalization,"25,612,066,605.71","15,481,102,480.48","7,687,096,789.69","4,147,768,069.29","3,559,344,958.04","1,971,321,795.08","1,708,793,072.45","974,118,280.94","888,145,248.85","733,031,872.65","647,803,114.65","581,819,494.44","538,400,902.59","124,519,921.55","93,497,512.86","37,436,562.24"
CommonStockEquity,"17,934,166,249.88","14,376,022,480.48","7,553,096,789.69","3,561,962,361.79","3,081,955,906.12","1,944,278,455.28","1,708,793,072.45","974,118,280.94","888,145,248.85","733,031,872.65","647,803,114.65","581,819,494.44","538,400,902.59","124,519,921.55","93,497,512.86","37,436,562.24"
CapitalLeaseObligations,"33,461,415.12",,,,,,,,,,,,,,,
NetTangibleAssets,"16,949,490,035.1","13,848,666,198.6","7,062,107,080.88","3,144,811,224.81","2,742,694,266.05","1,459,925,206.6","1,229,735,224.83","546,903,841.59","830,127,807.03","687,229,715.44","599,288,859.3","540,756,741.59","510,981,645.23","101,784,229.92","86,811,121.01","32,279,562.24"
WorkingCapital,"3,315,824,643.16","4,182,262,105.36","2,270,091,869.33","399,319,484.62","75,855,427.08","363,204,567.27","731,529,278.65","381,321,235.18","512,062,672.97","427,800,857.19","386,721,916.55","357,596,092.43","448,831,974.23","62,754,838.4","52,232,834.51","15,151,764.2"
InvestedCapital,"26,811,601,534.27","15,681,260,813.81","8,205,894,270.23","4,962,968,277.06","4,063,595,268.86","2,595,257,578.6","1,816,088,519.3","1,009,118,280.94","888,145,248.85","733,031,872.65","647,803,114.65","581,819,494.44","538,400,902.59","151,719,921.55","113,297,512.86","40,136,562.24"
TangibleBookValue,"16,949,490,035.1","13,848,666,198.6","7,062,107,080.88","3,144,811,224.81","2,742,694,266.05","1,459,925,206.6","1,229,735,224.83","546,903,841.59","830,127,807.03","687,229,715.44","599,288,859.3","540,756,741.59","510,981,645.23","101,784,229.92","86,811,121.01","32,279,562.24"
TotalDebt,"9,622,903,958.07","1,402,219,411.98","1,308,032,560.28","1,707,457,388.74","1,087,415,343.22","701,577,743.52","107,295,446.85","35,000,000",,,,,,"27,200,000","19,800,000","2,700,000"
NetDebt,"2,068,720,255.97",,"442,995,097.34","278,516,296.35","717,184,551.53","111,234,604.1",,,,,,,,,"5,237,716.09",
ShareIssued,"1,898,330,069","1,888,865,429","1,842,211,479","1,626,158,010","1,627,843,437","811,871,051","811,850,903","757,082,169","757,499,411","754,000,284","752,745,708","752,745,708","752,745,708","470,466,067","427,696,425","427,696,425"
OrdinarySharesNumber,"1,898,330,069","1,888,865,429","1,842,211,479","1,626,158,010","1,627,843,437","811,871,051","811,850,903","757,082,169","757,499,411","754,000,284","752,745,708","752,745,708","752,745,708","470,466,067","427,696,425","427,696,425"
