name,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
CommonStockEquity,"44,704,000,000","30,189,000,000","22,225,000,000","6,618,000,000","4,923,243,000","4,237,242,000","4,752,911,000","1,088,944,000","911,710,000","667,120,000","124,700,000","224,045,000","207,048,000","-253,523,000","-199,714,000","-117,846,000"
CapitalLeaseObligations,"3,703,000,000","3,531,000,000","3,008,000,000","2,896,000,000","3,194,796,000","1,801,010,000","1,459,684,000","32,671,000","42,829,000","20,577,000","14,330,000","3,897,000","775,000","1,090,000","1,229,000","98,000"
NetTangibleAssets,"44,111,000,000","28,472,000,000","21,705,000,000","6,081,000,000","4,572,592,000","3,815,503,000","4,376,766,000","1,088,944,000","911,710,000","653,190,000","110,433,000","224,045,000","207,048,000","-253,523,000","-199,714,000","-117,846,000"
WorkingCapital,"14,208,000,000","7,395,000,000","12,469,000,000","1,436,000,000","-1,685,828,000","-1,104,150,000","432,791,000","-24,706,000","1,091,491,000","590,779,000","-14,340,000","181,499,000","150,321,000","43,070,000","-56,508,000","-28,988,000"
InvestedCapital,"46,749,000,000","35,531,000,000","32,496,000,000","18,419,000,000","15,555,718,000","14,552,180,000","11,881,342,000","3,804,530,000","3,377,990,000","1,253,421,000","577,036,000","500,296,000","278,876,000","-253,523,000","-145,186,000","-117,846,000"
TangibleBookValue,"44,111,000,000","28,472,000,000","21,705,000,000","6,081,000,000","4,572,592,000","3,815,503,000","4,376,766,000","1,088,944,000","911,710,000","653,190,000","110,433,000","224,045,000","207,048,000","-253,523,000","-199,714,000","-117,846,000"
TotalDebt,"5,748,000,000","8,873,000,000","13,279,000,000","14,697,000,000","13,827,271,000","12,115,948,000","8,588,115,000","2,715,586,000","2,509,109,000","606,878,000","466,666,000","280,148,000","72,603,000","1,090,000","55,757,000","98,000"
NetDebt,,,,"5,533,000,000","6,946,857,000","6,947,024,000","3,735,215,000","1,518,678,000","560,567,000",,"250,446,000","20,985,000",,,"45,251,000",
ShareIssued,"3,164,000,000","3,099,000,000","2,880,000,000","2,715,931,290","2,589,039,420","2,531,955,000","2,423,415,000","1,971,375,000","1,885,314,105","1,846,364,850","1,713,214,110","1,567,954,575","1,423,625,550","1,396,640,895","1,396,640,895","1,396,640,895"
OrdinarySharesNumber,"3,164,000,000","3,099,000,000","2,880,000,000","2,715,931,290","2,589,039,420","2,531,955,000","2,423,415,000","1,971,375,000","1,885,314,105","1,846,364,850","1,713,214,110","1,567,954,575","1,423,625,550","1,396,640,895","1,396,640,895","1,396,640,895"
